TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,PercentDiscount,SaleFinal,PaidWithPoints
1,5/4/2025,1034,2059,402,0,2048.2,37.94779875,1270.953186,Yes
2,5/4/2025,1066,2048,403,1,321.87,48.59433757,165.4594057,Yes
3,5/4/2025,1116,2041,403,3,3216.84,42.48251046,1850.245611,No
4,5/4/2025,1071,2096,404,2,1613.23,55.66478208,715.2290361,No
5,5/4/2025,1020,2060,401,0,408.38,21.26797821,321.5258306,Yes
6,5/4/2025,1089,2028,401,0,1275.88,47.87398457,665.0654057,Yes
7,5/4/2025,1193,2003,402,1,346.66,6.425408555,324.3856787,No
8,5/4/2025,1005,2079,402,1,855.49,61.09162121,332.8572897,Yes
9,5/4/2025,1032,2060,401,1,735.08,38.15738977,454.5926593,Yes
10,5/4/2025,1119,2089,403,2,661.63,49.51557069,334.0201296,Yes
11,5/4/2025,1042,2077,401,,505.65,15.09695491,429.3122475,Yes
12,5/4/2025,1079,2013,401,2,0,55.01272724,0,Yes
13,5/4/2025,1147,2086,404,3,4470.5,36.53767286,2837.083335,Yes
14,5/4/2025,1183,2025,401,1,503.32,94.27418014,28.81919652,Yes
15,5/4/2025,1026,2089,403,0,413.52,60.73385765,162.3733518,No
16,5/4/2025,1144,2005,403,3,1715.12,62.96589102,635.1794099,No
17,5/4/2025,1169,2047,401,2,535.97,25.75664585,397.9221052,No
18,5/4/2025,1003,2053,404,0,3660.9,90.90228279,333.0583293,No
19,5/4/2025,1110,2046,404,1,30.09,42.74798614,17.22713097,Yes
20,5/4/2025,1111,2022,403,3,671.18,91.22647664,58.88613409,No
21,5/4/2025,1119,2055,403,2,0,23.70391335,0,Yes
22,5/4/2025,1062,2011,403,3,1229.22,80.23515871,242.9533821,No
23,5/4/2025,1062,2096,404,3,672.18,29.9716859,470.7163217,No
24,5/4/2025,1086,2003,404,2,924.43,19.99020002,739.634594,Yes
25,5/4/2025,1046,2062,402,2,1981.95,91.44707125,169.5147714,No
26,5/4/2025,1066,2043,403,2,698.76,13.99207951,600.9889452,Yes
27,5/4/2025,1142,2001,402,0,1237.05,25.13557592,926.1103581,No
28,5/4/2025,1061,2092,404,3,482.21,57.50175548,204.9307849,No
29,5/4/2025,1142,2097,402,3,4210.5,28.67371855,3003.19308,Yes
30,5/4/2025,1165,2091,404,3,4528.95,73.29532737,1209.441271,Yes
31,2023-13-01,1004,2011,403,1,737.53,26.11904261,544.894225,No
32,5/4/2025,1103,2088,402,2,0,38.38045298,0,No
33,5/4/2025,1169,2074,403,3,0,47.90435917,0,No
34,5/4/2025,1141,2067,403,3,872.85,55.17921171,391.2182506,Yes
35,5/4/2025,1190,2070,403,2,54.69,92.05707524,4.343985551,No
